Start Time: 12:55:44
run_preprocessing=True, with: is_hl=True, to_seg=True, seg_len=30, hl_margins=(6, 0) 
run_features=True, with: is_hl=True , specific_blendshapes=True 
linear_regression, LeaveOneClipOutForEachSubject, pca3, rewatch    , True, True, 0.183, 0.000, 0.033
ridge            , LeaveOneClipOutForEachSubject, pca3, rewatch    , True, True, 0.178, 0.000, 0.028
linear_regression, LeaveOneClipOutForEachSubject, pca4, rewatch    , True, True, 0.195, 0.000, 0.037
ridge            , LeaveOneClipOutForEachSubject, pca4, rewatch    , True, True, 0.192, 0.000, 0.032
linear_regression, LeaveOneClipOutForEachSubject, pca5, rewatch    , True, True, 0.193, 0.000, 0.033
ridge            , LeaveOneClipOutForEachSubject, pca5, rewatch    , True, True, 0.190, 0.000, 0.033
linear_regression, LeaveOneClipOutForEachSubject, pca6, rewatch    , True, True, 0.188, 0.000, 0.028
ridge            , LeaveOneClipOutForEachSubject, pca6, rewatch    , True, True, 0.199, 0.000, 0.037
linear_regression, LeaveOneClipOutForEachSubject, pca7, rewatch    , True, True, 0.175, 0.000, 0.020
ridge            , LeaveOneClipOutForEachSubject, pca7, rewatch    , True, True, 0.183, 0.000, 0.032
linear_regression, LeaveOneClipOutForEachSubject, pca8, rewatch    , True, True, 0.193, 0.000, 0.029
ridge            , LeaveOneClipOutForEachSubject, pca8, rewatch    , True, True, 0.197, 0.000, 0.036
linear_regression, LeaveOneClipOutForEachSubject, pca9, rewatch    , True, True, 0.185, 0.000, 0.023
ridge            , LeaveOneClipOutForEachSubject, pca9, rewatch    , True, True, 0.196, 0.000, 0.036
linear_regression, LeaveOneClipOutForEachSubject, pca10, rewatch    , True, True, 0.167, 0.000, 0.012
ridge            , LeaveOneClipOutForEachSubject, pca10, rewatch    , True, True, 0.183, 0.000, 0.032
linear_regression, LeaveOneClipOutForEachSubject, pca11, rewatch    , True, True, 0.184, 0.000, 0.018
ridge            , LeaveOneClipOutForEachSubject, pca11, rewatch    , True, True, 0.193, 0.000, 0.036
linear_regression, LeaveOneClipOutForAllSubject, pca2, valence    , True, True, 0.105, 0.024, 0.009
ridge            , LeaveOneClipOutForAllSubject, pca2, valence    , True, True, 0.087, 0.061, 0.007
linear_regression, LeaveOneClipOutForAllSubject, pca3, valence    , True, True, 0.107, 0.020, 0.008
ridge            , LeaveOneClipOutForAllSubject, pca3, valence    , True, True, 0.086, 0.064, 0.007
linear_regression, LeaveOneClipOutForAllSubject, pca4, valence    , True, True, 0.119, 0.010, 0.009
ridge            , LeaveOneClipOutForAllSubject, pca4, valence    , True, True, 0.105, 0.023, 0.011
linear_regression, LeaveOneClipOutForAllSubject, pca5, valence    , True, True, 0.138, 0.003, 0.014
ridge            , LeaveOneClipOutForAllSubject, pca5, valence    , True, True, 0.124, 0.007, 0.015
linear_regression, LeaveOneClipOutForAllSubject, pca6, valence    , True, True, 0.142, 0.002, 0.013
ridge            , LeaveOneClipOutForAllSubject, pca6, valence    , True, True, 0.132, 0.004, 0.017
linear_regression, LeaveOneClipOutForAllSubject, pca7, valence    , True, True, 0.127, 0.006, 0.006
ridge            , LeaveOneClipOutForAllSubject, pca7, valence    , True, True, 0.118, 0.011, 0.014
linear_regression, LeaveOneClipOutForAllSubject, pca8, valence    , True, True, 0.137, 0.003, 0.008
ridge            , LeaveOneClipOutForAllSubject, pca8, valence    , True, True, 0.122, 0.008, 0.015
linear_regression, LeaveOneClipOutForAllSubject, pca9, valence    , True, True, 0.134, 0.004, 0.006
ridge            , LeaveOneClipOutForAllSubject, pca9, valence    , True, True, 0.120, 0.010, 0.014
linear_regression, LeaveOneClipOutForAllSubject, pca10, valence    , True, True, 0.123, 0.008, -0.000
ridge            , LeaveOneClipOutForAllSubject, pca10, valence    , True, True, 0.108, 0.019, 0.012
linear_regression, LeaveOneClipOutForAllSubject, pca11, valence    , True, True, 0.133, 0.004, 0.002
ridge            , LeaveOneClipOutForAllSubject, pca11, valence    , True, True, 0.122, 0.008, 0.015
linear_regression, LeaveOneClipOutForAllSubject, pca2, arousal    , True, True, 0.173, 0.000, 0.028
ridge            , LeaveOneClipOutForAllSubject, pca2, arousal    , True, True, 0.174, 0.000, 0.028
linear_regression, LeaveOneClipOutForAllSubject, pca3, arousal    , True, True, 0.159, 0.001, 0.021
ridge            , LeaveOneClipOutForAllSubject, pca3, arousal    , True, True, 0.160, 0.001, 0.024
linear_regression, LeaveOneClipOutForAllSubject, pca4, arousal    , True, True, 0.154, 0.001, 0.018
ridge            , LeaveOneClipOutForAllSubject, pca4, arousal    , True, True, 0.164, 0.000, 0.026
linear_regression, LeaveOneClipOutForAllSubject, pca5, arousal    , True, True, 0.138, 0.003, 0.010
ridge            , LeaveOneClipOutForAllSubject, pca5, arousal    , True, True, 0.152, 0.001, 0.023
linear_regression, LeaveOneClipOutForAllSubject, pca6, arousal    , True, True, 0.130, 0.005, 0.005
ridge            , LeaveOneClipOutForAllSubject, pca6, arousal    , True, True, 0.147, 0.001, 0.022
linear_regression, LeaveOneClipOutForAllSubject, pca7, arousal    , True, True, 0.116, 0.012, -0.003
ridge            , LeaveOneClipOutForAllSubject, pca7, arousal    , True, True, 0.138, 0.003, 0.019
linear_regression, LeaveOneClipOutForAllSubject, pca8, arousal    , True, True, 0.108, 0.019, -0.008
ridge            , LeaveOneClipOutForAllSubject, pca8, arousal    , True, True, 0.129, 0.005, 0.016
linear_regression, LeaveOneClipOutForAllSubject, pca9, arousal    , True, True, 0.099, 0.032, -0.014
ridge            , LeaveOneClipOutForAllSubject, pca9, arousal    , True, True, 0.120, 0.009, 0.014
linear_regression, LeaveOneClipOutForAllSubject, pca10, arousal    , True, True, 0.087, 0.061, -0.021
ridge            , LeaveOneClipOutForAllSubject, pca10, arousal    , True, True, 0.108, 0.019, 0.010
linear_regression, LeaveOneClipOutForAllSubject, pca11, arousal    , True, True, 0.077, 0.096, -0.027
ridge            , LeaveOneClipOutForAllSubject, pca11, arousal    , True, True, 0.101, 0.029, 0.008
linear_regression, LeaveOneClipOutForAllSubject, pca2, likeability, True, True, 0.112, 0.016, 0.011
ridge            , LeaveOneClipOutForAllSubject, pca2, likeability, True, True, 0.092, 0.047, 0.008
linear_regression, LeaveOneClipOutForAllSubject, pca3, likeability, True, True, 0.101, 0.028, 0.007
ridge            , LeaveOneClipOutForAllSubject, pca3, likeability, True, True, 0.079, 0.090, 0.006
linear_regression, LeaveOneClipOutForAllSubject, pca4, likeability, True, True, 0.103, 0.026, 0.005
ridge            , LeaveOneClipOutForAllSubject, pca4, likeability, True, True, 0.089, 0.055, 0.008
